machine,input_size,benchmark,rid,run_id,runtime(ns)
saphir,A,mg_A,7,0,11852233
saphir,A,mg_A,2,0,11831154
saphir,A,mg_A,2,3,12221793
saphir,A,mg_A,2,4,11744273
saphir,A,mg_A,2,1,11940473
saphir,A,mg_A,2,2,11467794
saphir,A,bt_A,980,4,22699146
saphir,A,bt_A,980,3,22786667
saphir,A,bt_A,980,0,22362348
saphir,A,bt_A,980,2,22701907
saphir,A,bt_A,980,1,22237387
saphir,A,bt_A,1070,1,19728189
saphir,A,bt_A,1070,2,19999828
saphir,A,bt_A,1070,0,19908029
saphir,A,bt_A,1070,4,19871148
saphir,A,bt_A,1070,3,19669669
saphir,A,bt_A,294,0,14266872
saphir,A,bt_A,294,3,14534672
saphir,A,bt_A,294,4,14397472
saphir,A,bt_A,294,1,14470311
saphir,A,bt_A,294,2,14405313
saphir,A,bt_A,1644,0,14841231
saphir,A,bt_A,1644,4,14692232
saphir,A,bt_A,1644,3,14940432
saphir,A,bt_A,1644,1,14734552
saphir,A,bt_A,1644,2,14577072
saphir,A,bt_A,1529,3,23600587
saphir,A,bt_A,1529,4,23399587
saphir,A,bt_A,1529,0,23428067
saphir,A,bt_A,1529,2,23807626
saphir,A,bt_A,1529,1,23995546
saphir,A,bt_A,1069,2,21103068
saphir,A,bt_A,1069,1,21071308
saphir,A,bt_A,1069,4,21111148
saphir,A,bt_A,1069,3,21021828
saphir,A,bt_A,1069,0,21071829
saphir,A,bt_A,1941,1,13329233
saphir,A,bt_A,1941,2,13372632
saphir,A,bt_A,1941,0,13449312
saphir,A,bt_A,1941,4,13453233
saphir,A,bt_A,1941,3,13301953
saphir,A,bt_A,167,2,14362592
saphir,A,bt_A,167,1,14329631
saphir,A,bt_A,167,3,14277472
saphir,A,bt_A,167,4,14358392
saphir,A,bt_A,167,0,14371672
saphir,A,bt_A,1804,2,14704632
saphir,A,bt_A,1804,1,14622192
saphir,A,bt_A,1804,3,14560952
saphir,A,bt_A,1804,4,14858552
saphir,A,bt_A,1804,0,14584432
saphir,A,bt_A,501,1,17654311
saphir,A,bt_A,501,2,17715950
saphir,A,bt_A,501,0,18014590
saphir,A,bt_A,501,3,17505590
saphir,A,bt_A,501,4,18132709
saphir,A,bt_A,1537,1,18350430
saphir,A,bt_A,1537,2,18435070
saphir,A,bt_A,1537,0,18726750
saphir,A,bt_A,1537,3,18332750
saphir,A,bt_A,1537,4,18268430
saphir,A,bt_A,671,4,14389152
saphir,A,bt_A,671,3,14457712
saphir,A,bt_A,671,0,14308432
saphir,A,bt_A,671,2,14568592
saphir,A,bt_A,671,1,14245392
saphir,A,bt_A,1899,2,16019591
saphir,A,bt_A,1899,1,15798191
saphir,A,bt_A,1899,3,15886871
saphir,A,bt_A,1899,4,15972431
saphir,A,bt_A,1899,0,15608712
saphir,A,bt_A,121,0,24794346
saphir,A,bt_A,121,3,24098946
saphir,A,bt_A,121,4,24523826
saphir,A,bt_A,121,1,24699625
saphir,A,bt_A,121,2,24152587
saphir,A,bt_A,453,3,12755233
saphir,A,bt_A,453,4,12871872
